DATE,MEDDAYONMARUS
01-07-2016,64
01-08-2016,67
01-09-2016,71
01-10-2016,72
01-11-2016,74
01-12-2016,83
01-01-2017,88
01-02-2017,82
01-03-2017,62
01-04-2017,58
01-05-2017,55
01-06-2017,56
01-07-2017,59
01-08-2017,61
01-09-2017,64
01-10-2017,68
01-11-2017,71
01-12-2017,78
01-01-2018,83
01-02-2018,76
01-03-2018,58
01-04-2018,54
01-05-2018,51
01-06-2018,51
01-07-2018,55
01-08-2018,58
01-09-2018,60
01-10-2018,64
01-11-2018,66
01-12-2018,75
01-01-2019,81
01-02-2019,75
01-03-2019,65
01-04-2019,54
01-05-2019,52
01-06-2019,53
01-07-2019,57
01-08-2019,59
01-09-2019,62
01-10-2019,64
01-11-2019,67
01-12-2019,77
01-01-2020,82
01-02-2020,73
01-03-2020,57
01-04-2020,60
01-05-2020,68
01-06-2020,62
01-07-2020,53
01-08-2020,51
01-09-2020,50
01-10-2020,51
01-11-2020,54
01-12-2020,62
01-01-2021,66
01-02-2021,56
01-03-2021,45
01-04-2021,37
01-05-2021,35
01-06-2021,33
01-07-2021,35
01-08-2021,37
01-09-2021,40
01-10-2021,43
01-11-2021,46
01-12-2021,53
01-01-2022,59
01-02-2022,41
01-03-2022,34
01-04-2022,30
01-05-2022,30
01-06-2022,31
01-07-2022,34
01-08-2022,41
01-09-2022,47
01-10-2022,50
01-11-2022,55
01-12-2022,65
01-01-2023,72
01-02-2023,65
01-03-2023,52
01-04-2023,46
01-05-2023,43
